"","time","atm"
"226",2022-09-14 17:00:00,1009.25969326327
"227",2022-09-14 18:00:00,1008.48303080032
"228",2022-09-14 19:00:00,1008.15980072737
"229",2022-09-14 20:00:00,1007.98028571814
"230",2022-09-14 21:00:00,1007.91597575431
"231",2022-09-14 22:00:00,1007.87469779035
"232",2022-09-14 23:00:00,1007.73530016164
"233",2022-09-15 00:00:00,1007.80889108057
"234",2022-09-15 01:00:00,1008.33975486392
"235",2022-09-15 02:00:00,1008.30225635776
"236",2022-09-15 03:00:00,1008.23058625707
"237",2022-09-15 04:00:00,1007.67853663793
"238",2022-09-15 05:00:00,1006.82656364861
"239",2022-09-15 06:00:00,1005.83867949892
"240",2022-09-15 07:00:00,1005.03390609
"241",2022-09-15 08:00:00,1004.42891476293
"242",2022-09-15 09:00:00,1004.73652834815
"243",2022-09-15 10:00:00,1005.80321352371
"244",2022-09-15 11:00:00,1006.19607935866
"245",2022-09-15 12:00:00,1006.25055804365
"246",2022-09-15 13:00:00,1006.99547529634
"247",2022-09-15 14:00:00,1007.68060013473
"248",2022-09-15 15:00:00,1007.64477947198
"249",2022-09-15 16:00:00,1007.24743077338
"250",2022-09-15 17:00:00,1006.72760150862
"251",2022-09-15 18:00:00,1005.93993839935
"252",2022-09-15 19:00:00,1005.37091112608
"253",2022-09-15 20:00:00,1005.2325584748
"254",2022-09-15 21:00:00,1004.99104017785
"255",2022-09-15 22:00:00,1005.06012015086
"256",2022-09-15 23:00:00,1005.39891239558
"257",2022-09-16 00:00:00,1005.94627483836
"258",2022-09-16 01:00:00,1006.59648183778
"259",2022-09-16 02:00:00,1006.64140056573
"260",2022-09-16 03:00:00,1006.60135998383
"261",2022-09-16 04:00:00,1006.15117322198
"262",2022-09-16 05:00:00,1005.359862436
"263",2022-09-16 06:00:00,1004.17709757543
"264",2022-09-16 07:00:00,1003.42421126381
"265",2022-09-16 08:00:00,1002.52778329741
"266",2022-09-16 09:00:00,1002.43416981946
"267",2022-09-16 10:00:00,1002.98908226893
"268",2022-09-16 11:00:00,1003.7586595097
"269",2022-09-16 12:00:00,1004.83513400701
"270",2022-09-16 13:00:00,1006.5875139278
"271",2022-09-16 14:00:00,1006.71002064134
"272",2022-09-16 15:00:00,1006.99251161412
"273",2022-09-16 16:00:00,1006.85491963901
